,video_id,start_seconds,end_seconds,positive_labels,scores,labels
0,"-1LQP2wemiQ,","30.000,","40.000,",['female'],"[0.895259   0.04197507 0.0355756  0.02504655 0.02455253 0.02057137
 0.02014766 0.01127981 0.00968761 0.00839629]","['Speech', 'Telephone', 'Busy signal', 'Conversation', 'Narration, monologue', 'Dial tone', 'Alarm', 'Sidetone', 'Inside, small room', 'Telephone dialing, DTMF']"
0,"-FoTxwPOz3U,","0.000,","10.000,",['child'],"[0.32567054 0.15005346 0.14031239 0.02669022 0.02581572 0.02499814
 0.02401496 0.02259646 0.021501   0.02072998]","['Speech', 'Child speech, kid speaking', 'Inside, small room', 'Animal', 'Domestic animals, pets', 'Hammer', 'Wood', 'Laughter', 'Door', 'Inside, large room or hall']"
0,"-G04QpzSpbU,","20.000,","30.000,",['child'],"[0.5599675  0.07915702 0.07696012 0.06368811 0.021473   0.01830659
 0.01536293 0.01478032 0.01280943 0.01220414]","['Speech', 'Child speech, kid speaking', 'Inside, small room', 'Silence', 'Door', 'Hiccup', 'Bouncing', 'Domestic animals, pets', 'Slam', 'Tap']"
0,"-fAGzY9rnaA,","30.000,","40.000,",['female'],"[0.741797   0.20718797 0.06909525 0.06065367 0.05549313 0.05339449
 0.0502866  0.01004386 0.00788746 0.00462719]","['Speech', 'Music', 'Crow', 'Caw', 'Animal', 'Wild animals', 'Bird', 'Narration, monologue', 'Conversation', 'Music for children']"
0,"-jZENGDFArw,","80.000,","90.000,",['child'],"[0.44595808 0.12694953 0.10053965 0.08035877 0.05941476 0.03536204
 0.01899944 0.01683398 0.01538588 0.0151156 ]","['Speech', 'Inside, small room', 'Child speech, kid speaking', 'Hands', 'Clapping', 'Singing', 'Laughter', 'Whimper', 'Crying, sobbing', 'Hiccup']"
0,"-jaY3LS3Dv0,","30.000,","40.000,",['child'],"[0.29089886 0.20299412 0.11225611 0.08054353 0.06693389 0.04480043
 0.04302483 0.02720005 0.02581768 0.02466429]","['Speech', 'Child speech, kid speaking', 'Inside, small room', 'Child singing', 'Singing', 'Babbling', 'Hands', 'Crying, sobbing', 'Rodents, rats, mice', 'Animal']"
0,"-pBFsYisTCM,","10.000,","20.000,",['child'],"[0.51197904 0.31506988 0.07434649 0.04981838 0.04324148 0.04185353
 0.03907139 0.03602601 0.03172739 0.02216868]","['Speech', 'Music', 'Child speech, kid speaking', 'Silence', 'Musical instrument', 'Mallet percussion', 'Percussion', 'Vibraphone', 'Marimba, xylophone', 'Glockenspiel']"
0,"09kqMqn5rWs,","260.000,","270.000,",['child'],"[0.34642828 0.06043221 0.04197817 0.03830316 0.03807424 0.02772716
 0.01570075 0.01479685 0.01279348 0.01122656]","['Speech', 'Music', 'Screaming', 'Child speech, kid speaking', 'Crying, sobbing', 'Baby cry, infant cry', 'Laughter', 'Whimper', 'Outside, urban or manmade', 'Inside, small room']"
0,"0QabiRBcEKc,","50.000,","60.000,",['male'],"[0.2853721  0.22408578 0.19985017 0.11749887 0.10227017 0.10072349
 0.0988038  0.06537415 0.06233924 0.04575211]","['Water', 'Waterfall', 'Speech', 'Ocean', 'Waves, surf', 'Stream', 'Vehicle', 'Steam', 'Hiss', 'Rail transport']"
0,"0_O6nVfnCH8,","210.000,","220.000,",['child'],"[0.29014465 0.10621826 0.08730944 0.08631033 0.082648   0.05714982
 0.04881716 0.04774489 0.04533064 0.02944159]","['Speech', 'Bathtub (filling or washing)', 'Water', 'Child speech, kid speaking', 'Children playing', 'Animal', 'Domestic animals, pets', 'Liquid', 'Dog', 'Splash, splatter']"
0,"1OFDyTzUj24,","30.000,","40.000,",['male'],"[9.3131900e-01 5.8857094e-02 6.4804312e-03 5.3524347e-03 4.6914238e-03
 1.5280718e-03 9.6207194e-04 8.7854435e-04 7.6317636e-04 7.0952217e-04]","['Speech', 'Narration, monologue', 'Conversation', 'Inside, large room or hall', 'Music', 'Inside, public space', 'Outside, urban or manmade', 'Shout', 'Whoop', 'Inside, small room']"
0,"1hba9jmspEQ,","30.000,","40.000,",['female'],"[0.9361178  0.03866314 0.00726252 0.00631272 0.00585711 0.00357505
 0.00254238 0.00231432 0.00186462 0.00129364]","['Speech', 'Inside, small room', 'Conversation', 'Narration, monologue', 'Child speech, kid speaking', 'Dishes, pots, and pans', 'Inside, large room or hall', 'Cutlery, silverware', 'Mechanisms', 'Tools']"
0,"1uhuVsFGe6E,","50.000,","60.000,",['child'],"[0.6989079  0.11726779 0.08822371 0.03514919 0.01101985 0.01057261
 0.00914519 0.00662361 0.00430148 0.00395143]","['Speech', 'Music', 'Child speech, kid speaking', 'Children playing', 'Inside, small room', 'Narration, monologue', 'Singing', 'Inside, large room or hall', 'Outside, urban or manmade', 'Conversation']"
0,"2-XyCIq8Yp0,","50.000,","60.000,",['child'],"[0.39963326 0.23941968 0.2332132  0.1718382  0.0893108  0.00446263
 0.00383915 0.0038052  0.00352267 0.00330959]","['Speech', 'Child speech, kid speaking', 'Child singing', 'Singing', 'Inside, small room', 'Narration, monologue', 'Lullaby', 'Mantra', 'Music for children', 'Chant']"
0,"23HYypV2gcM,","590.000,","600.000,",['child'],"[0.7256032  0.06977714 0.05159987 0.01752292 0.01435373 0.01295728
 0.00990272 0.00885211 0.00854108 0.00678331]","['Speech', 'Child speech, kid speaking', 'Children playing', 'Water', 'Outside, urban or manmade', 'Inside, small room', 'Outside, rural or natural', 'Waterfall', 'Stream', 'Splash, splatter']"
0,"2N2msWTHybg,","340.000,","350.000,",['child'],"[0.6919536  0.11654938 0.11262544 0.10504617 0.04425193 0.03775512
 0.03753785 0.03194964 0.02140947 0.01026092]","['Speech', 'Domestic animals, pets', 'Dog', 'Animal', 'Whimper (dog)', 'Canidae, dogs, wolves', 'Yip', 'Bow-wow', 'Child speech, kid speaking', 'Outside, urban or manmade']"
